classifier_name,dataset_name,accuracy
uniform,DistalPhalanxOutlineAgeGroup,0.7697841726618705
uniform,DistalPhalanxOutlineCorrect,0.7608695652173914
uniform,DistalPhalanxTW,0.697841726618705
uniform,DodgerLoopDay,0.5625
uniform,DodgerLoopGame,0.8043478260869565
uniform,DodgerLoopWeekend,0.9855072463768116
uniform,ECG200,0.88
uniform,ECG5000,0.9446666666666667
uniform,ECGFiveDays,1.0
uniform,EOGHorizontalSignal,0.46408839779005523
uniform,EOGVerticalSignal,0.4088397790055249
uniform,Earthquakes,0.7482014388489209
uniform,ElectricDevices,0.7407599533134483
uniform,EthanolLevel,0.574
uniform,FaceAll,0.7946745562130177
uniform,FaceFour,1.0
uniform,FacesUCR,0.9507317073170731
uniform,FiftyWords,0.8219780219780219
uniform,Fish,0.9828571428571429
uniform,FordA,0.9431818181818182
uniform,FordB,0.7962962962962963
uniform,FreezerRegularTrain,0.9985964912280701
uniform,FreezerSmallTrain,0.9550877192982457
uniform,Fungi,0.9408602150537635
uniform,GestureMidAirD1,0.7538461538461538
uniform,GestureMidAirD2,0.6461538461538462
uniform,GestureMidAirD3,0.4153846153846154
uniform,GesturePebbleZ1,0.872093023255814
uniform,GesturePebbleZ2,0.8544303797468354
uniform,GunPoint,1.0
uniform,GunPointAgeSpan,0.9841772151898734
uniform,GunPointMaleVersusFemale,0.9968354430379747
uniform,GunPointOldVersusYoung,0.9936507936507937
uniform,Ham,0.7047619047619048
uniform,HandOutlines,0.9324324324324325
uniform,Haptics,0.5194805194805194
uniform,Herring,0.6875
uniform,HouseTwenty,0.9159663865546218
uniform,InlineSkate,0.42363636363636364
uniform,InsectEPGRegularTrain,1.0
uniform,InsectEPGSmallTrain,1.0
uniform,InsectWingbeatSound,0.6631313131313131
uniform,ItalyPowerDemand,0.9620991253644315
uniform,LargeKitchenAppliances,0.8666666666666667
uniform,Lightning2,0.7049180327868853
uniform,Lightning7,0.7397260273972602
uniform,Mallat,0.9509594882729211
uniform,Meat,0.9666666666666667
uniform,MedicalImages,0.7921052631578948
uniform,MelbournePedestrian,0.8290282902829028
uniform,MiddlePhalanxOutlineAgeGroup,0.6103896103896104
uniform,MiddlePhalanxOutlineCorrect,0.8591065292096219
uniform,MiddlePhalanxTW,0.5714285714285714
uniform,MixedShapesRegularTrain,0.9645360824742268
uniform,MixedShapesSmallTrain,0.9369072164948453
uniform,MoteStrain,0.9281150159744409
uniform,NonInvasiveFetalECGThorax1,0.9318066157760814
uniform,NonInvasiveFetalECGThorax2,0.956234096692112
uniform,OSULeaf,0.9421487603305785
uniform,OliveOil,0.9333333333333333
uniform,PLAID,0.813780260707635
uniform,PhalangesOutlinesCorrect,0.8263403263403264
uniform,Phoneme,0.27531645569620256
uniform,PickupGestureWiimoteZ,0.84
uniform,PigAirwayPressure,0.8942307692307693
uniform,PigArtPressure,0.9759615384615384
uniform,PigCVP,0.9375
uniform,Plane,1.0
uniform,PowerCons,0.9833333333333333
uniform,ProximalPhalanxOutlineAgeGroup,0.8536585365853658
uniform,ProximalPhalanxOutlineCorrect,0.872852233676976
uniform,ProximalPhalanxTW,0.8292682926829268
uniform,RefrigerationDevices,0.5093333333333333
uniform,Rock,0.84
uniform,ScreenType,0.4826666666666667
uniform,SemgHandGenderCh2,0.8383333333333334
uniform,SemgHandMovementCh2,0.5088888888888888
uniform,SemgHandSubjectCh2,0.7822222222222223
uniform,ShakeGestureWiimoteZ,0.9
uniform,ShapeletSim,1.0
uniform,ShapesAll,0.9233333333333333
uniform,SmallKitchenAppliances,0.824
uniform,SmoothSubspace,0.9
uniform,SonyAIBORobotSurface1,0.9034941763727121
uniform,SonyAIBORobotSurface2,0.912906610703043
uniform,StarLightCurves,0.9813016027197669
uniform,Strawberry,0.9783783783783784
uniform,SwedishLeaf,0.9664
uniform,Symbols,0.9768844221105528
uniform,SyntheticControl,0.9466666666666667
uniform,ToeSegmentation1,0.9692982456140351
uniform,ToeSegmentation2,0.9076923076923077
uniform,Trace,1.0
uniform,TwoLeadECG,0.9973661106233538
uniform,TwoPatterns,0.9715
uniform,UMD,0.9930555555555556
uniform,UWaveGestureLibraryAll,0.9623115577889447
uniform,UWaveGestureLibraryX,0.8389168062534896
uniform,UWaveGestureLibraryY,0.7601898380792853
uniform,UWaveGestureLibraryZ,0.7903405918481295
uniform,Wafer,0.9936729396495781
uniform,Wine,0.8518518518518519
uniform,WordSynonyms,0.7241379310344828
uniform,Worms,0.7012987012987013
uniform,WormsTwoClass,0.7012987012987013
uniform,Yoga,0.8973333333333333
