ACSF1,0.91,0.0688075521029532
Adiac,0.8158567774936062,0.04936751606874168
AllGestureWiimoteX,0.6714285714285714,0.0966827510856092
AllGestureWiimoteY,0.7157142857142857,0.17771160299889743
AllGestureWiimoteZ,0.6871428571428572,0.1928574899211526
ArrowHead,0.8685714285714285,0.09662901912815869
BME,1.0,0.084182697115466
Beef,0.8666666666666667,0.07591989892534912
BeetleFly,0.9,0.07072813715785742
BirdChicken,0.9,0.07689607911743224
CBF,0.9988888888888889,0.08988546393811703
Car,0.9166666666666666,0.0791035930160433
Chinatown,0.9854227405247813,0.09007101599127054
ChlorineConcentration,0.7578125,0.27520138397812843
CinCECGTorso,0.8652173913043478,0.3673760730307549
Coffee,1.0,0.005451328121125698
Computers,0.724,0.05412710108794272
CricketX,0.8179487179487179,0.06009691511280835
CricketY,0.8333333333333334,0.0580449269618839
CricketZ,0.8307692307692308,0.05833561182953417
Crop,0.7499404761904762,0.7141152361873537
DiatomSizeReduction,0.9281045751633987,0.027661544969305396
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.03031621314585209
DistalPhalanxOutlineCorrect,0.7934782608695652,0.05504371598362923
DistalPhalanxTW,0.697841726618705,0.01864314521662891
DodgerLoopDay,0.6625,0.015160051872953773
DodgerLoopGame,0.855072463768116,0.009650319814682007
DodgerLoopWeekend,0.9855072463768116,0.009688744088634849
ECG200,0.91,0.03608214994892478
ECG5000,0.9448888888888889,0.22882126085460186
ECGFiveDays,1.0,0.03422033996321261
EOGHorizontalSignal,0.5994475138121547,0.13580230507068336
EOGVerticalSignal,0.5552486187845304,0.14164000796154141
Earthquakes,0.7482014388489209,0.04211821500211954
ElectricDevices,0.7459473479444949,0.5896024568937719
EthanolLevel,0.596,0.2834767571184784
FaceAll,0.8071005917159764,0.09923092392273247
FaceFour,0.9886363636363636,0.014344059862196445
FacesUCR,0.9580487804878048,0.09840718214400113
FiftyWords,0.8417582417582418,0.056237030075863004
Fish,0.9828571428571429,0.03305151988752186
FordA,0.9515151515151515,0.4514425981324166
FordB,0.8160493827160494,0.4162828200496733
FreezerRegularTrain,0.9996491228070176,0.20523849106393754
FreezerSmallTrain,0.9698245614035088,0.19747028197161853
Fungi,1.0,0.01042701699770987
GestureMidAirD1,0.7307692307692307,0.026659570867195725
GestureMidAirD2,0.6461538461538462,0.0242063170298934
GestureMidAirD3,0.43846153846153846,0.024242353858426213
GesturePebbleZ1,0.9127906976744186,0.03228124394081533
GesturePebbleZ2,0.8544303797468354,0.027223909040912986
GunPoint,0.9933333333333333,0.014177274890244007
GunPointAgeSpan,0.990506329113924,0.02216417994350195
GunPointMaleVersusFemale,1.0,0.022204019129276276
GunPointOldVersusYoung,1.0,0.022292214911431074
Ham,0.7142857142857143,0.02002463210374117
HandOutlines,0.9324324324324325,0.5992723610252142
Haptics,0.5422077922077922,0.09041543491184711
Herring,0.65625,0.009642410092055798
HouseTwenty,0.9663865546218487,0.0560522738378495
InlineSkate,0.44181818181818183,0.19126853696070611
InsectEPGRegularTrain,0.9959839357429718,0.05073659005574882
InsectEPGSmallTrain,0.9919678714859438,0.03220115089789033
InsectWingbeatSound,0.6762626262626262,0.11866044509224594
ItalyPowerDemand,0.9640427599611273,0.10268708202056587
LargeKitchenAppliances,0.8613333333333333,0.09556254697963595
Lightning2,0.7377049180327869,0.017493003979325294
Lightning7,0.8082191780821918,0.014207733096554875
Mallat,0.9513859275053305,0.34343250887468457
Meat,0.9666666666666667,0.0160269548650831
MedicalImages,0.7973684210526316,0.037841966142877936
MelbournePedestrian,0.964329643296433,0.0970504570286721
MiddlePhalanxOutlineAgeGroup,0.5974025974025974,0.017996386857703328
MiddlePhalanxOutlineCorrect,0.8487972508591065,0.033877081936225295
MiddlePhalanxTW,0.5324675324675324,0.05345246382057667
MixedShapesRegularTrain,0.9690721649484536,0.4387012580409646
MixedShapesSmallTrain,0.9505154639175257,0.36755105992779136
MoteStrain,0.9241214057507987,0.04697654605843127
NonInvasiveFetalECGThorax1,0.9460559796437659,0.5180479178670794
NonInvasiveFetalECGThorax2,0.9674300254452927,0.4760806239210069
OSULeaf,0.9504132231404959,0.04183222819119692
OliveOil,0.9333333333333333,0.01693587307818234
PLAID,0.9422718808193669,0.2101455400697887
PhalangesOutlinesCorrect,0.8368298368298368,0.10372788878157735
Phoneme,0.27689873417721517,0.3960154098458588
PickupGestureWiimoteZ,0.86,0.014075288083404303
PigAirwayPressure,0.875,0.10567599604837596
PigArtPressure,0.9855769230769231,0.10444180178456008
PigCVP,0.9567307692307693,0.11447524093091488
Plane,1.0,0.025252830935642123
PowerCons,0.9888888888888889,0.01501079578883946
ProximalPhalanxOutlineAgeGroup,0.848780487804878,0.04282068205066025
ProximalPhalanxOutlineCorrect,0.9106529209621993,0.042020055931061506
ProximalPhalanxTW,0.8,0.02160041593015194
RefrigerationDevices,0.48,0.07955959206447005
Rock,0.82,0.051244193920865655
ScreenType,0.488,0.08902927418239415
SemgHandGenderCh2,0.895,0.21865350496955216
SemgHandMovementCh2,0.6888888888888889,0.21931772399693727
SemgHandSubjectCh2,0.8777777777777778,0.22397280507721007
ShakeGestureWiimoteZ,0.9,0.008415278047323227
ShapeletSim,1.0,0.01978044817224145
ShapesAll,0.9183333333333333,0.10277496394701302
SmallKitchenAppliances,0.8373333333333334,0.08121606707572937
SmoothSubspace,0.9733333333333334,0.030520714120939374
SonyAIBORobotSurface1,0.8901830282861897,0.04842471401207149
SonyAIBORobotSurface2,0.9181532004197271,0.03137900703586638
